title,price,location,bedrooms,bathrooms,toilets,size
3 bedroom detached bungalow for sale,"99,750,000","Adron City Park And Gardens, Asejire, Ibadan, Oyo",3.0,4.0,4.0,500 sqm total area
9 bedroom detached bungalow for sale,"55,000,000","Close To Makoni Hotel, Ologuneru, Ibadan, Oyo",9.0,,9.0,605 sqm covered area
4 bedroom detached bungalow for sale,"50,000,000","Road 4 Ire-akari, Idi-oya, Ayegun Oleyo Road, Oluyole Extension, Ibadan, Oyo",4.0,,,500 sqm covered area
2 bedroom block of flats for sale,"130,000,000","Orange Gate, Oluyole Estate, Ibadan, Oyo",2.0,2.0,2.0,500 sqm covered area
4 bedroom detached duplex for sale,"340,000,000","Blue Gate Oluyole Estate, Ibadan, Oyo",4.0,4.0,4.0,400 sqm total area
3 bedroom detached bungalow for sale,"8,000,000","Akinbode Zone 3, Oluwo, Alakia, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"25,000,000","Akinbode Zone 3, Oluwo, Alakia, Ibadan, Oyo",,,,400 sqm total area
2 bedroom block of flats for sale,"85,000,000","Airport, Alakia, Ibadan, Oyo",2.0,,,400 sqm total area
Block of flats for sale,"38,000,000","Paara, Inu Ewe, Alakia, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"200,000,000","New Bodija, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"25,000,000","Adogba, Monatan, Alakia, Ibadan, Oyo",,,,400 sqm total area
4 bedroom detached bungalow for sale,"40,000,000","Airport, Alakia, Ibadan, Oyo",4.0,4.0,,400 sqm total area
5 bedroom detached duplex for sale,"70,000,000","Barracks Road, Ojoo, Ibadan, Oyo",5.0,,,400 sqm total area
4 bedroom detached bungalow for sale,"15,000,000","Podo, Top One Garden Area, Challenge, Ibadan, Oyo",4.0,,,400 sqm total area
3 bedroom detached bungalow for sale,"90,000,000","Ope Odu Estate, Elewuro,akobo, Akobo, Ibadan, Oyo",3.0,4.0,,400 sqm total area
3 bedroom detached duplex for sale,"180,000,000","Alalubosa Gra, Ibadan, Oyo",3.0,4.0,,400 sqm total area
Block of flats for sale,"60,000,000","Ring Road, Challenge, Ibadan, Oyo",,,,400 sqm total area
6 bedroom detached bungalow for sale,"40,000,000","Odo Ona Elewe,orita, Challenge, Ibadan, Oyo",6.0,,,400 sqm total area
Block of flats for sale,"13,000,000","Oloruntedo, Iyana Agbala, Alakia, Ibadan, Oyo",,,,400 sqm total area
9 bedroom detached duplex for sale,"180,000,000","Prof. Peller Area, New Bodija, Ibadan, Oyo",9.0,,,400 sqm total area
Block of flats for sale,"75,000,000","Temidire Gra, Sdp, Wema Bank, Alakia, Ibadan, Oyo",,,,400 sqm total area
4 bedroom terraced duplex for sale,"220,000,000","Jericho, Ibadan, Oyo",4.0,4.0,5.0,400 sqm total area
3 bedroom detached bungalow for sale,"160,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"80,000,000","Agbowo, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"200,000,000","Airforce Estate, Akobo, Ibadan, Oyo",5.0,,,400 sqm total area
Block of flats for sale,"18,000,000","Olaogun, Old Ife Road, Alakia, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"50,000,000","Isokan Estate, Akobo, Ibadan, Oyo",,,,400 sqm total area
3 bedroom detached bungalow for sale,"50,000,000","Tomiwa Awe, Alengongo, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
3 bedroom detached bungalow for sale,"72,000,000","Ahoyaya Estate, Ile Tuntun, Jericho, Ibadan, Oyo",3.0,,,400 sqm total area
4 bedroom detached bungalow for sale,"68,000,000","Akilapa Estate, Jericho, Ibadan, Oyo",4.0,,,400 sqm total area
6 bedroom detached duplex for sale,"100,000,000","Omolayo Estate, Akobo, Ibadan, Oyo",6.0,,,400 sqm total area
4 bedroom terraced duplex for sale,"600,000,000","Gra, Alalubosa, Ibadan, Oyo",4.0,,,400 sqm total area
Block of flats for sale,"8,000,000","Gbaremu, Alakia, Ibadan, Oyo",,,,400 sqm total area
3 bedroom block of flats for sale,"85,000,000","Anifalaje, Akobo, Ibadan, Oyo",3.0,,,400 sqm total area
Block of flats for sale,"40,000,000","Olanrewaju, Alakia, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"70,000,000","Omolayo Road 3, Akobo, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"250,000,000","Adeoyo Road, Ringroad, Challenge, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"400,000,000","Ilaro Street, Old Bodija, Ibadan, Oyo",,,,400 sqm total area
Block of flats for sale,"420,000,000","Arigidi, Old Bodija, Ibadan, Oyo",,,,400 sqm total area
2 bedroom block of flats for sale,"54,000,000","Off All Saints College Road, Off Up Jesus Road, Idishin, Ibadan, Oyo",2.0,2.0,2.0,400 sqm total area
Block of flats for sale,"100,000,000","Benjamin, Eleyele, Ibadan, Oyo",,,,400 sqm total area
5 bedroom detached duplex for sale,"339,000,000","Aerodrome Gra, Samonda, Ibadan, Oyo",5.0,6.0,6.0,500 sqm total area
3 bedroom detached bungalow for sale,"29,000,000","Omi Adio, Apata, Ibadan, Oyo",3.0,3.0,3.0,500 sqm total area
4 bedroom house for sale,"32,000,000","Yawiri, Akobo Ojurin Ibadan, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
7 bedroom block of flats for sale,"70,000,000","Behind Brent Supermarket, Apata, Ibadan, Oyo",7.0,4.0,4.0,500 sqm total area
11 bedroom block of flats for sale,"265,000,000","Aare Oluyole Estate, Ibadan, Oyo",11.0,13.0,13.0,500 sqm total area
4 bedroom detached duplex for sale,"195,000,000","Palm Garden Estate, Oluyole Estate, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Alalubosa Gra, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"310,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
3 bedroom semi-detached duplex for sale,"160,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",3.0,3.0,4.0,500 sqm total area
4 bedroom detached duplex for sale,"220,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"200,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"315,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Carlton Gate Estate, Akobo, Ibadan, Oyo",4.0,4.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"195,000,000","Purple Estate, Oluyole, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"300,000,000","Aerodrome Gra Samonda, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
Block of flats for sale,"70,000,000","Anfani Road, Ring Road,, Challenge, Ibadan, Oyo",,,,500 sqm total area
4 bedroom detached duplex for sale,"315,000,000","Carlton Gate Estate,kolapo Ishola, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
4 bedroom detached duplex for sale,"270,000,000","Carlton Gate Estate, Kolapo Ishola Gra, Akobo, Ibadan, Oyo",4.0,5.0,5.0,500 sqm total area
3 bedroom detached duplex for sale,"400,000,000","Oba Olagbegi Avenue, Old Bodija, Ibadan, Oyo",3.0,,,500 sqm total area
3 bedroom detached duplex for sale,"160,000,000","S & T Estate, Eleyele, Ibadan, Oyo",3.0,,,500 sqm total area
Block of flats for sale,"65,000,000","Alegongo Estate, Akobo, Ibadan, Oyo",,,,500 sqm total area
4 bedroom detached bungalow for sale,"35,000,000","Bcj Area, Apata, Ibadan, Oyo",4.0,,,500 sqm total area
4 bedroom detached bungalow for sale,"25,000,000","Isokan Estate, Akobo, Ibadan, Oyo",4.0,,,500 sqm total area
Block of flats for sale,"100,000,000","Wema, Iwo Road, Alakia, Ibadan, Oyo",,,,500 sqm total area
6 bedroom detached duplex for sale,"150,000,000","By Liberty Stadium, Oke Ado, Ibadan, Oyo",6.0,6.0,7.0,500 sqm total area
