title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
9 bedroom detached bungalow for sale,55000000.0,Ologuneru,9.0,9.0,9.0,605,bungalow,6111111.111111111,90909.09090909091
2 bedroom block of flats for sale,54000000.0,Off Up Jesus Road,2.0,2.0,2.0,605,apartment,27000000.0,89256.19834710743
4 bedroom house for sale,315000000.0,Akobo,4.0,4.0,4.0,605,other,78750000.0,520661.1570247934
4 bedroom house for sale,250000000.0,Akobo,4.0,4.0,4.0,605,other,62500000.0,413223.14049586776
4 bedroom house for sale,350000000.0,Oluyole,4.0,4.0,4.0,605,other,87500000.0,578512.3966942149
3 bedroom detached bungalow for sale,75000000.0,Olushetan Street,3.0,3.0,3.0,605,bungalow,25000000.0,123966.94214876032
4 bedroom house for sale,140000000.0,Akala Way,4.0,4.0,4.0,605,other,35000000.0,231404.95867768594
4 bedroom semi-detached duplex for sale,250000000.0,Old Bodija,4.0,4.0,4.0,605,duplex,62500000.0,413223.14049586776
4 bedroom house for sale,300000000.0,Samonda.,4.0,4.0,4.0,605,other,75000000.0,495867.7685950413
5 bedroom house for sale,350000000.0,Kolapo Ishola Gra,5.0,5.0,5.0,605,other,70000000.0,578512.3966942149
4 bedroom house for sale,120000000.0,Adeoyo Gra Ring Road Ibadan Behind Oyo State Court Of Appeal,4.0,4.0,4.0,605,other,30000000.0,198347.10743801654
4 bedroom house for sale,250000000.0,Akala Akobo,4.0,4.0,4.0,605,other,62500000.0,413223.14049586776
4 bedroom house for sale,270000000.0,Beside Kolapo Ishola Gra,4.0,4.0,4.0,605,other,67500000.0,446280.9917355372
5 bedroom house for sale,185000000.0,Oke'badan Estate Akala Way Akobo.,5.0,5.0,5.0,605,other,37000000.0,305785.12396694213
4 bedroom house for sale,165000000.0,Oke'badan Estate Akala Way Akobo.,4.0,4.0,4.0,605,other,41250000.0,272727.2727272727
4 bedroom house for sale,160000000.0,Oke'badan Estate Akala Way Akobo.,4.0,4.0,4.0,605,other,40000000.0,264462.80991735536
4 bedroom house for sale,190000000.0,Oluyole,4.0,4.0,4.0,605,other,47500000.0,314049.5867768595
5 bedroom house for sale,30000000.0,Off Akala Akobo.,5.0,5.0,5.0,605,other,6000000.0,49586.776859504134
4 bedroom house for sale,135000000.0,Akobo Gra,4.0,4.0,4.0,605,other,33750000.0,223140.4958677686
3 bedroom semi-detached duplex for sale,170000000.0,Akobo,3.0,3.0,3.0,605,duplex,56666666.666666664,280991.7355371901
4 bedroom house for sale,300000000.0,Akobo,4.0,4.0,4.0,605,other,75000000.0,495867.7685950413
4 bedroom house for sale,150000000.0,Akoto Estate,4.0,4.0,4.0,605,other,37500000.0,247933.88429752065
4 bedroom house for sale,180000000.0,Agodi Gra,4.0,4.0,4.0,605,other,45000000.0,297520.6611570248
5 bedroom house for sale,150000000.0,Akala Expressway,5.0,5.0,5.0,605,other,30000000.0,247933.88429752065
5 bedroom house for sale,450000000.0,Bashorun,5.0,5.0,5.0,605,other,90000000.0,743801.652892562
5 bedroom detached duplex for sale,180000000.0,Jankata Near Kuola Off Akala Express,5.0,5.0,6.0,605,duplex,36000000.0,297520.6611570248
4 bedroom detached bungalow for sale,25000000.0,Akobo,4.0,4.0,4.0,605,bungalow,6250000.0,41322.31404958678
3 bedroom detached bungalow for sale,75000000.0,Jericho Extension Alafara,3.0,4.0,4.0,605,bungalow,25000000.0,123966.94214876032
11 bedroom block of flats for sale,265000000.0,Aare Oluyole Estate,11.0,13.0,13.0,605,apartment,24090909.09090909,438016.52892561984
3 bedroom detached bungalow for sale,50000000.0,Akobo,3.0,3.0,4.0,560,bungalow,16666666.666666666,89285.71428571429
5 bedroom detached duplex for sale,159999999.0,Agodi,5.0,6.0,6.0,560,duplex,31999999.8,285714.28392857144
4 bedroom detached duplex for sale,200000000.0,Omolayo Akobo,4.0,5.0,5.0,560,duplex,50000000.0,357142.85714285716
